	gene_name	zscore	effect_size	pval	mt_pval	phenotype	tissue	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_model	p_smr	p_heidi	coloc_prob4	coloc_prob3	p_twas
13	RFT1	9.15	0.03	5.5e-20	1.4e-27	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.63	1.1e-23	2.7e-21	24	24	4.7e-17	0.0000022	0.96	0.037	1.14825769580381e-16
14	RFT1	9.12	0.04	7.4e-20	1.4e-27	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.28	9.3e-8	5.5e-7	21	22	5.4e-11	0.0044	0.96	0.044	3.26062010246679e-18
15	CCBL2	8.56	0.04	1.2e-17	3.9e-14	GIANT_HEIGHT	TW_Brain_Putamen_basal_ganglia_Elastic_Net_0.5	0.34	7.1e-9	1.7e-7	32	33	4.2e-10	0.28	0.040	0.96	3.7364211932654e-15
16	MAP1LC3A	8.54	0.05	1.3e-17	1.8e-58	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.33	1.0e-9	1.4e-8	16	23	0.0011	0.000021	0.0000087	1.0	1.01176073411112e-8
17	CCBL2	8.15	0.04	3.7e-16	3.9e-14	GIANT_HEIGHT	TW_Brain_Hypothalamus_Elastic_Net_0.5	0.29	2.2e-7	0.0000047	27	29	1.4e-9	0.15	0.0082	0.99	1.47606040185091e-8
18	TMEM180	-8.11	-0.06	4.9e-16	7.2e-20	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.29	4.6e-9	2.2e-8	13	15	2.6e-9	0.15	0.92	0.082	8.25205423881801e-15
19	CCBL2	8.10	0.03	5.6e-16	3.9e-14	GIANT_HEIGHT	TW_Brain_Nucleus_accumbens_basal_ganglia_Elastic_Net_0.5	0.45	2.0e-13	1.1e-11	36	38	6.8e-12	0.11	0.082	0.92	3.6523147460338e-15
20	TMEM180	-7.92	-0.03	2.4e-15	7.2e-20	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.30	3.7e-8	2.4e-7	25	29	1.8e-9	0.073	0.95	0.055	5.46277745903138e-15
21	BTN3A2	7.83	0.14	4.7e-15	2.1e-21	pgc.scz2	TW_Brain_Cortex_Elastic_Net_0.5	0.26	1.4e-7	0.0000011	70	70	4.7e-9	0.0092	0.0050	0.99	8.85175202078168e-8
22	MYH7B	7.51	0.04	5.8e-14	1.2e-113	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.25	6.9e-8	2.5e-7	35	38	0.15	2.5e-7	0.0013	1.0	9.1665364684159e-21
23	ZSCAN31	-7.45	-0.10	9.6e-14	2.0e-23	pgc.scz2	TW_Brain_Hypothalamus_Elastic_Net_0.5	0.18	0.000094	0.00065	48	48	5.0e-7	0.55	0.0065	0.97	1.9878641408186e-15
24	CCBL2	7.38	0.02	1.5e-13	3.9e-14	GIANT_HEIGHT	TW_Brain_Frontal_Cortex_BA9_Elastic_Net_0.5	0.55	3.7e-17	4.5e-15	56	59	3.1e-10	0.41	0.00020	1.0	1.05636860128687e-13
25	NUSAP1	-7.22	-0.04	5.2e-13	2.0e-8	GIANT_HEIGHT	TW_Brain_Putamen_basal_ganglia_Elastic_Net_0.5	0.38	5.3e-10	1.7e-8	26	34	2.3e-7	0.73	0.60	0.40	2.45461786572097e-10
26	NRBF2	7.22	0.06	5.2e-13	3.0e-10	GLGC_Mc_TG	TW_Brain_Cortex_Elastic_Net_0.5	0.24	4.0e-7	0.0000028	34	35	2.0e-8	0.62	0.98	0.020	1.8080472075127e-10
27	INPP5E	-7.13	-0.16	1.0e-12	3.2e-14	IBD.EUR.Inflammatory_Bowel_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.39	1.5e-12	1.6e-11	20	20	5.4e-9	0.0081	6.0e-10	1.0	3.28673145353794e-13
28	CCBL2	7.11	0.03	1.1e-12	3.9e-14	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.28	9.8e-9	4.3e-8	38	38	2.1e-7	0.55	0.016	0.98	4.89966535146878e-12
29	TUBG2	-7.09	-0.13	1.3e-12	2.5e-13	GIANT_HEIGHT	TW_Brain_Frontal_Cortex_BA9_Elastic_Net_0.5	0.20	0.0000081	0.000047	6	10	0.0000027	0.54	0.96	0.037	6.39451653837511e-13
30	MST1R	-7.05	-0.19	1.8e-12	2.8e-17	IBD.EUR.Inflammatory_Bowel_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.26	2.7e-8	1.1e-7	39	39	0.0000028	0.098	0.000056	1.0	1.15369184186132e-14
31	EBPL	-7.01	-0.04	2.4e-12	1.5e-19	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.28	7.9e-9	3.5e-8	33	36	0.028	0.0022	0.0027	0.97	9.63314722008134e-15
32	CCBL2	6.85	0.02	7.2e-12	3.9e-14	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.54	2.6e-17	2.4e-15	79	84	4.0e-10	0.15	0.000063	1.0	6.83724732012466e-16
33	STMN3	-6.83	-0.24	8.5e-12	2.4e-12	IBD.EUR.Inflammatory_Bowel_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.23	4.1e-7	0.0000013	16	16	0.0000062	0.22	0.0056	0.99	4.75745285985222e-12
34	INPP5E	-6.81	-0.21	1.0e-11	1.8e-12	IBD.EUR.Crohns_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.39	1.5e-12	1.6e-11	20	20	3.3e-8	0.011	2.6e-7	1.0	3.13906510640243e-12
35	EBPL	-6.71	-0.03	1.9e-11	1.5e-19	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.50	1.5e-14	5.7e-13	31	35	0.023	0.00091	6.5e-7	1.0	1.34495871836083e-10
36	CRLF3	-6.69	-0.05	2.2e-11	5.6e-22	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.062	0.011	0.0093	43	48			0.062	0.18	8.7878938627583e-13
37	ERAP2	6.67	0.15	2.5e-11	5.0e-11	IBD.EUR.Crohns_Disease	TW_Brain_Nucleus_accumbens_basal_ganglia_Elastic_Net_0.5	0.56	4.4e-18	7.2e-16	41	41	5.2e-10	0.64	0.77	0.23	1.5533659419561e-9
38	BTN3A2	6.66	0.09	2.8e-11	2.1e-21	pgc.scz2	TW_Brain_Nucleus_accumbens_basal_ganglia_Elastic_Net_0.5	0.55	2.8e-17	3.9e-15	75	75	1.8e-9	0.000021	0.000064	1.0	5.11365024075887e-11
39	ERAP2	6.63	0.19	3.3e-11	5.0e-11	IBD.EUR.Crohns_Disease	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.49	2.3e-14	8.4e-13	20	20	4.6e-9	0.39	0.91	0.092	1.14227738032071e-8
40	TUBG2	-6.63	-0.07	3.4e-11	2.5e-13	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.32	2.5e-9	3.1e-8	15	23	5.1e-7	0.052	0.62	0.38	1.78483086329217e-7
41	METTL21B	-6.61	-0.02	3.9e-11	8.6e-10	GIANT_HEIGHT	TW_Brain_Putamen_basal_ganglia_Elastic_Net_0.5	0.45	4.2e-12	2.7e-10	80	86	4.0e-7	0.031	0.068	0.93	1.0798881657241e-11
42	NDUFAF1	6.59	0.07	4.4e-11	1.1e-10	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.19	0.0000044	0.000011	9	11	0.0000038	0.89	0.91	0.087	4.53354549821271e-10
43	ERAP2	6.56	0.17	5.4e-11	5.0e-11	IBD.EUR.Crohns_Disease	TW_Brain_Hippocampus_Elastic_Net_0.5	0.40	1.7e-10	1.0e-8	31	31	3.6e-9	0.22	0.77	0.23	2.82217684694469e-8
44	LAMC1	6.54	0.03	6.2e-11	2.8e-22	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.37	9.5e-12	8.1e-11	28	28	0.000020	0.0035	6.9e-10	1.0	1.25119276151503e-12
45	ERAP2	6.53	0.13	6.5e-11	5.0e-11	IBD.EUR.Crohns_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.52	1.3e-17	3.9e-16	52	52	3.1e-9	0.16	0.77	0.23	6.55007286816102e-9
46	NUSAP1	-6.52	-0.05	7.2e-11	2.0e-8	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.25	5.4e-7	0.0000026	17	24	0.0000063	0.43	0.94	0.060	2.56517910504881e-15
47	INPP5E	-6.51	-0.03	7.3e-11	1.5e-13	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.39	1.5e-12	1.6e-11	16	20	0.0000027	0.021	6.1e-14	1.0	6.47069787649456e-9
48	ERAP2	6.48	0.15	8.9e-11	5.0e-11	IBD.EUR.Crohns_Disease	TW_Brain_Caudate_basal_ganglia_Elastic_Net_0.5	0.60	2.0e-21	5.3e-19	38	38	2.7e-10	0.44	0.77	0.23	8.13612802863458e-9
49	NDUFAF1	6.46	0.04	1.1e-10	1.1e-10	GIANT_HEIGHT	TW_Brain_Frontal_Cortex_BA9_Elastic_Net_0.5	0.47	4.6e-14	2.4e-12	10	16	2.6e-8	0.28	0.97	0.032	2.07739092849774e-13
50	NUSAP1	-6.34	-0.06	2.3e-10	2.0e-8	GIANT_HEIGHT	TW_Brain_Caudate_basal_ganglia_Elastic_Net_0.5	0.35	9.8e-11	1.7e-9	17	23	8.7e-7	0.39	0.77	0.23	2.4676187437662e-13
51	NUSAP1	-6.33	-0.04	2.5e-10	2.0e-8	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.29	1.3e-8	1.3e-7	32	45	7.3e-8	0.80	0.96	0.045	2.25444990257257e-7
52	ZSCAN31	-6.30	-0.10	3.1e-10	2.0e-23	pgc.scz2	TW_Brain_Frontal_Cortex_BA9_Elastic_Net_0.5	0.27	8.6e-8	8.9e-7	34	34	0.0000025	0.76	3.4e-7	1.0	1.11016380296747e-7
53	WFIKKN1	6.30	0.04	3.1e-10	5.2e-12	GIANT_HEIGHT	TW_Brain_Caudate_basal_ganglia_Elastic_Net_0.5	0.45	2.8e-14	1.3e-12	21	24	0.0000020	0.0048	3.4e-8	1.0	1.0542868656954e-8
54	ZSCAN31	-6.28	-0.09	3.3e-10	2.0e-23	pgc.scz2	TW_Brain_Putamen_basal_ganglia_Elastic_Net_0.5	0.21	0.000015	0.00010	42	42	0.0000026	0.31	0.00053	1.0	1.60700009026329e-11
55	METTL21B	-6.28	-0.04	3.5e-10	8.6e-10	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.33	9.8e-10	1.4e-8	17	21	1.5e-7	0.0070	0.094	0.91	5.94237181044784e-11
56	SNX19	6.26	0.08	3.9e-10	9.5e-10	pgc.scz2	TW_Brain_Cerebellum_Elastic_Net_0.5	0.37	6.3e-12	5.8e-11	41	41	0.0000011	0.44	0.058	0.94	2.23276178811993e-8
57	METTL21B	-6.20	-0.03	5.5e-10	8.6e-10	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.47	1.5e-15	2.9e-14	21	24	3.2e-8	0.024	0.052	0.95	3.99297498249277e-9
58	METTL21B	-6.20	-0.02	5.8e-10	8.6e-10	GIANT_HEIGHT	TW_Brain_Nucleus_accumbens_basal_ganglia_Elastic_Net_0.5	0.48	9.8e-15	7.3e-13	27	28	7.0e-8	0.12	0.039	0.96	5.76519757166808e-13
59	SETD9	6.15	0.02	7.8e-10	2.0e-8	GIANT_HEIGHT	TW_Brain_Hippocampus_Elastic_Net_0.5	0.52	3.3e-14	4.5e-12	40	40	8.0e-7	0.29	0.074	0.93	4.21890316450766e-9
60	FILIP1	-6.14	-0.03	8.0e-10	1.1e-24	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.25	5.1e-7	0.0000025	44	48	2.4e-7	0.0000012	0.00037	1.0	7.51047808592772e-7
61	SETD9	6.12	0.03	9.2e-10	2.0e-8	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.33	4.4e-9	3.7e-8	26	26	2.4e-7	0.53	0.88	0.12	3.21967475726189e-7
62	FARP2	-6.12	-0.02	9.5e-10	2.2e-10	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.51	2.4e-17	6.6e-16	20	23	1.3e-8	0.46	0.48	0.52	7.33667960829671e-10
63	RBM6	6.11	0.13	9.8e-10	1.2e-10	IBD.EUR.Inflammatory_Bowel_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.45	1.3e-14	2.1e-13	47	47	0.0000030	0.014	1.8e-13	1.0	1.93983887810402e-9
64	ERAP2	6.10	0.15	1.1e-9	5.0e-11	IBD.EUR.Crohns_Disease	TW_Brain_Cortex_Elastic_Net_0.5	0.50	9.4e-16	6.2e-14	29	29	8.7e-10	0.21	0.77	0.23	5.08742438764547e-8
65	NUSAP1	-6.02	-0.03	1.7e-9	2.0e-8	GIANT_HEIGHT	TW_Brain_Frontal_Cortex_BA9_Elastic_Net_0.5	0.41	4.5e-12	1.5e-10	36	49	0.0000011	0.54	0.90	0.10	2.00613097950288e-11
66	GPX1	-6.01	-0.13	1.9e-9	9.2e-25	IBD.EUR.Inflammatory_Bowel_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.23	2.3e-7	7.5e-7	46	46	6.4e-7	0.00089	0.78	0.21	1.27891164436627e-10
67	METTL21B	-5.98	-0.03	2.2e-9	8.6e-10	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.45	4.7e-13	1.2e-11	31	37	5.2e-7	0.026	0.042	0.96	5.15425879656229e-9
68	DCAKD	5.98	0.04	2.2e-9	5.5e-11	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.36	2.3e-11	1.8e-10	14	17	0.00043	0.014	0.00040	1.0	1.37154532566435e-8
69	NUSAP1	-5.97	-0.04	2.4e-9	2.0e-8	GIANT_HEIGHT	TW_Brain_Nucleus_accumbens_basal_ganglia_Elastic_Net_0.5	0.32	3.0e-9	5.0e-8	16	20	0.0000011	0.19	0.96	0.043	1.10454600746333e-9
70	ZSCAN31	-5.96	-0.13	2.6e-9	2.0e-23	pgc.scz2	TW_Brain_Nucleus_accumbens_basal_ganglia_Elastic_Net_0.5	0.073	0.0086	0.015	34	34			0.019	0.85	1.80606168429024e-14
71	MST1R	-5.94	-0.22	2.9e-9	2.9e-11	IBD.EUR.Crohns_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.26	2.7e-8	1.1e-7	39	39	0.000018	0.23	0.000084	1.0	9.36714281545716e-10
72	ERAP2	5.93	0.12	3.0e-9	5.0e-11	IBD.EUR.Crohns_Disease	TW_Brain_Hypothalamus_Elastic_Net_0.5	0.55	1.7e-15	5.2e-13	56	56	1.7e-9	0.61	0.91	0.091	4.95423723544519e-10
73	SETD9	5.93	0.03	3.0e-9	2.0e-8	GIANT_HEIGHT	TW_Brain_Caudate_basal_ganglia_Elastic_Net_0.5	0.33	3.0e-10	4.6e-9	30	31	0.0000014	0.20	0.18	0.82	6.67651347084829e-10
74	EXOSC6	5.86	0.02	4.7e-9	2.6e-7	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.37	1.9e-10	2.3e-9	38	39	0.000028	0.52	0.0044	0.99	1.70775766636088e-7
75	SURF1	-5.80	-0.04	6.8e-9	6.6e-8	GLGC_Mc_LDL	TW_Brain_Caudate_basal_ganglia_Elastic_Net_0.5	0.35	9.2e-11	1.7e-9	77	92	0.052	0.021	0.0000022	1.0	8.17269131838432e-7
76	DCAKD	5.78	0.03	7.4e-9	5.5e-11	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.31	2.0e-8	1.4e-7	19	20	0.0039	0.00023	0.0000052	1.0	1.43156336806865e-7
77	MAP6D1	-5.77	-0.03	7.9e-9	5.1e-7	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.24	1.8e-7	6.2e-7	22	23	0.000081	0.92	0.0077	0.99	8.3920350099736e-10
78	TXNDC15	-5.76	-0.02	8.5e-9	7.0e-19	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.46	3.3e-13	9.1e-12	29	32	0.0000035	0.066	3.3e-7	1.0	2.25542551716448e-11
79	SULT1A2	5.73	0.30	9.8e-9	1.8e-7	IBD.EUR.Crohns_Disease	TW_Brain_Cortex_Elastic_Net_0.5	0.16	0.000054	0.00020	27	27	0.000043	0.32	0.57	0.43	1.08531290718934e-9
80	EBPL	-5.71	-0.02	1.2e-8	1.5e-19	GIANT_HEIGHT	TW_Brain_Frontal_Cortex_BA9_Elastic_Net_0.5	0.39	2.0e-11	5.8e-10	29	31	1.8e-7	0.0000094	0.00034	1.0	1.08045356353292e-11
81	DNA2	5.70	0.02	1.2e-8	4.6e-8	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.54	6.0e-19	2.6e-17	41	43	4.9e-8	0.035	0.0070	0.99	1.57858060956203e-8
82	KNOP1	-5.69	-0.03	1.3e-8	5.0e-9	GIANT_BMI_All_Ancestries	TW_Brain_Nucleus_accumbens_basal_ganglia_Elastic_Net_0.5	0.36	1.5e-10	3.6e-9	21	21	0.0000056	0.054	2.5e-10	1.0	1.21965619367069e-9
83	TUBG2	-5.69	-0.04	1.3e-8	2.5e-13	GIANT_HEIGHT	TW_Brain_Caudate_basal_ganglia_Elastic_Net_0.5	0.35	6.7e-11	1.3e-9	13	20	2.2e-7	0.24	0.90	0.097	7.70992531695327e-12
84	CEP192	5.63	0.02	1.8e-8	1.6e-8	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.50	8.0e-17	2.1e-15	38	43	1.1e-7	0.42	0.97	0.029	1.53899724807515e-9
85	C18orf8	-5.61	-0.04	2.0e-8	4.3e-8	GIANT_BMI_All_Ancestries	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.30	3.7e-8	2.4e-7	23	25	0.000015	0.038	0.94	0.063	2.21980978088487e-8
86	CEP192	5.57	0.03	2.6e-8	1.6e-8	GIANT_HEIGHT	TW_Brain_Caudate_basal_ganglia_Elastic_Net_0.5	0.34	1.5e-10	2.6e-9	33	37	2.3e-7	0.37	0.98	0.021	1.05041120475121e-8
87	ERAP2	5.50	0.08	3.8e-8	1.3e-7	IBD.EUR.Inflammatory_Bowel_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.52	1.3e-17	3.9e-16	52	52	4.0e-7	0.41	0.91	0.093	3.77335475337325e-7
88	CYP2D6	-5.48	-0.06	4.1e-8	0.0000023	pgc.scz2	TW_Brain_Nucleus_accumbens_basal_ganglia_Elastic_Net_0.5	0.50	1.5e-15	1.3e-13	25	25	0.0000011	0.33	0.031	0.97	2.49575238541747e-8
89	DLG5	-5.48	-0.03	4.4e-8	0.000015	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.35	5.9e-11	4.2e-10	40	43	0.0013	0.073	0.24	0.75	2.78784657273743e-7
90	RNF123	-5.45	-0.11	5.0e-8	5.7e-18	IBD.EUR.Inflammatory_Bowel_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.33	3.1e-10	1.9e-9	40	40	1.0e-7	0.0021	5.3e-8	1.0	8.37419390501746e-9
91	CEP192	5.44	0.03	5.5e-8	1.6e-8	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.30	3.8e-8	2.4e-7	23	24	7.6e-7	0.22	0.91	0.088	1.29896505968339e-10
92	FAM212A	-5.41	-0.12	6.5e-8	3.0e-20	IBD.EUR.Inflammatory_Bowel_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.31	1.1e-9	6.0e-9	37	37	3.3e-7	0.00019	4.9e-7	1.0	2.44623472466814e-10
93	SULT1A2	5.39	0.21	7.0e-8	8.0e-8	IBD.EUR.Inflammatory_Bowel_Disease	TW_Brain_Cortex_Elastic_Net_0.5	0.16	0.000054	0.00020	27	27	0.000043	0.24	0.44	0.56	8.20020880431908e-10
94	PLEC	-5.35	-0.04	8.6e-8	4.2e-10	GLGC_Mc_LDL	TW_Brain_Cerebellum_Elastic_Net_0.5	0.20	0.0000017	0.0000046	33	49	0.0000016	0.17	0.88	0.12	2.75484735482048e-12
95	XRRA1	5.30	0.02	1.1e-7	2.6e-7	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.60	5.6e-22	6.7e-20	18	18	3.6e-7	0.0038	2.5e-13	1.0	4.20903406118478e-9
96	MST1R	-5.30	-0.18	1.2e-7	5.4e-10	IBD.EUR.Ulcerative_Colitis	TW_Brain_Cerebellum_Elastic_Net_0.5	0.26	2.7e-8	1.1e-7	39	39	0.00018	0.14	0.000061	1.0	1.02808794260975e-9
97	XRRA1	5.24	0.02	1.6e-7	2.6e-7	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.66	5.9e-22	3.2e-19	21	22	0.0000016	0.0014	1.6e-13	1.0	2.15513960952507e-7
98	PIGQ	-5.23	-0.02	1.7e-7	2.2e-11	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.45	5.9e-14	2.4e-12	31	37	1.5e-7	0.13	0.0000044	1.0	1.08727570654117e-8
99	STMN3	-5.21	-0.26	1.9e-7	1.5e-7	IBD.EUR.Crohns_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.23	4.1e-7	0.0000013	16	16	0.00031	0.16	0.081	0.92	1.47670052033515e-7
100	TXNDC15	-5.17	-0.02	2.4e-7	7.0e-19	GIANT_HEIGHT
TW_Brain_Cerebellum_Elastic_Net_0.5	0.58	1.1e-20	8.2e-19	7	9
7.3e-7	0.092	4.2e-16	1.0	6.7887331595584e-13
101	CEP192	5.14	0.02	2.8e-7	1.6e-8	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.48	4.6e-15	2.4e-13	36	39	1.8e-7	0.26	0.97	0.031	4.40124355406039e-7
102	MAPK13	5.12	0.03	3.0e-7	1.6e-27	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.26	4.8e-8	1.8e-7	33	39	0.0053	0.042	4.7e-7	1.0	1.09872881258299e-7
103	XRRA1	5.11	0.02	3.3e-7	2.6e-7	GIANT_HEIGHT	TW_Brain_Hypothalamus_Elastic_Net_0.5	0.58	1.7e-16	7.1e-14	15	15	2.0e-7	0.0013	3.3e-13	1.0	1.17141905114211e-7
104	CCDC163P	5.06	0.02	4.1e-7	4.4e-7	GIANT_HEIGHT	TW_Brain_Caudate_basal_ganglia_Elastic_Net_0.5	0.41	5.4e-13	1.8e-11	34	40	0.000083	0.015	0.0000054	1.0	6.64028049643532e-7
105	GPX1	-5.06	-0.13	4.2e-7	2.7e-14	IBD.EUR.Ulcerative_Colitis	TW_Brain_Cerebellum_Elastic_Net_0.5	0.23	2.3e-7	7.5e-7	46	46	0.0000054	0.030	0.70	0.30	7.3361557751628e-9
106	DHFR	5.05	0.02	4.3e-7	2.8e-8	GIANT_HEIGHT	TW_Brain_Frontal_Cortex_BA9_Elastic_Net_0.5	0.41	7.7e-12	2.4e-10	48	53	0.0010	0.29	0.000087	1.0	0.00000129728411279343
107	DHFR	5.01	0.03	5.5e-7	2.8e-8	GIANT_HEIGHT	TW_Brain_Hypothalamus_Elastic_Net_0.5	0.24	0.0000036	0.000045	29	33	0.11	0.55	0.00040	1.0	0.00000129271580272277
108	SETD9	4.99	0.02	5.9e-7	2.0e-8	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.40	6.1e-13	7.0e-12	41	45	0.0000085	0.54	0.90	0.095	4.30412878455577e-8
109	CENPP	-4.96	-0.02	7.0e-7	8.5e-23	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.41	3.0e-12	7.6e-11	35	36	0.000015	0.0011	2.6e-9	1.0	1.77007536179323e-14
